customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00059,Male,1,Yes,No,33,Yes,No,No,Yes,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Credit card,23.92,790.78,Yes
CUST00060,Male,1,No,Yes,53,Yes,No phone service,No,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,66.47,3526.57,No
CUST00061,Male,1,Yes,Yes,33,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No internet service,One year,Yes,Mailed check,32.59,1091.19,No
CUST00062,Male,0,Yes,Yes,16,No,No,DSL,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card,54.84,892.5,No
CUST00063,Male,1,Yes,Yes,4,No,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,Yes,Two year,Yes,Mailed check,47.62,203.18,Yes
CUST00064,Male,0,No,Yes,17,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,117.64,2000.55,Yes
CUST00065,Female,1,Yes,No,54,Yes,No,DSL,No internet service,Yes,No internet service,No,Yes,No internet service,Two year,Yes,Bank transfer,85.83,4617.42,Yes
CUST00066,Female,0,No,Yes,52,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No,Two year,Yes,Credit card,61.05,3167.98,No
CUST00067,Male,0,No,Yes,49,No,No,No,No internet service,Yes,No,Yes,No,No internet service,One year,No,Electronic check,107.85,5289.52,No
CUST00068,Female,0,Yes,No,71,No,Yes,No,Yes,No,No internet service,No,No internet service,No internet service,Two year,No,Bank transfer,26.38,1878.48,Yes
CUST00069,Female,1,No,No,44,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,53.43,2364.88,No
CUST00070,Female,0,No,No,12,Yes,No phone service,No,Yes,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer,71.46,852.7,No
CUST00071,Female,0,Yes,Yes,15,No,Yes,DSL,No,No internet service,No,Yes,No,No,One year,Yes,Credit card,25.39,398.31,No
CUST00072,Male,0,No,Yes,12,No,No phone service,DSL,No internet service,Yes,No,Yes,Yes,No,One year,No,Credit card,34.59,401.61,No
CUST00073,Female,0,Yes,No,19,No,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card,109.5,2062.49,Yes
CUST00074,Male,0,No,No,65,Yes,No,No,No internet service,No,No internet service,No,Yes,No internet service,One year,Yes,Electronic check,37.96,2454.47,No
CUST00075,Female,0,No,No,46,No,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,112.17,5158.31,No
CUST00076,Female,1,Yes,No,18,No,No phone service,No,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,29.61,545.9,Yes
CUST00077,Female,1,Yes,Yes,44,No,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,108.82,4774.23,No
CUST00078,Male,0,No,Yes,36,No,Yes,No,No,No internet service,Yes,No,Yes,Yes,One year,No,Credit card,65.37,2355.25,No
CUST00079,Female,1,No,Yes,53,Yes,Yes,No,No internet service,Yes,No internet service,Yes,No internet service,Yes,One year,Yes,Credit card,77.33,4109.55,No
CUST00080,Male,1,Yes,Yes,5,No,No phone service,No,No internet service,Yes,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,48.16,222.19,No
CUST00081,Female,0,No,Yes,13,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,No internet service,Yes,One year,Yes,Bank transfer,47.33,596.95,Yes
CUST00082,Male,0,No,No,3,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,One year,No,Bank transfer,69.21,207.25,No
CUST00083,Female,0,No,Yes,54,No,No,DSL,Yes,No internet service,No,No internet service,Yes,Yes,Two year,Yes,Mailed check,55.58,2988.63,No
CUST00084,Male,1,No,No,33,No,Yes,Fiber optic,Yes,No,No,No,Yes,No internet service,Two year,Yes,Bank transfer,27.77,914.43,No
CUST00085,Male,0,Yes,No,26,Yes,Yes,No,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,55.37,1421.38,No
CUST00086,Female,1,Yes,No,6,No,Yes,DSL,Yes,No internet service,No,No,No,No,Two year,No,Bank transfer,45.47,291.89,Yes
CUST00087,Male,0,Yes,Yes,2,Yes,No phone service,No,Yes,No,No internet service,No,Yes,No,Two year,Yes,Bank transfer,104.96,216.09,No
CUST00088,Female,1,Yes,No,46,No,No phone service,No,No internet service,Yes,Yes,No,No,No,One year,Yes,Bank transfer,103.85,4784.57,No
CUST00089,Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,No internet service,Two year,No,Credit card,34.15,34.54,No
CUST00090,Female,0,Yes,No,24,Yes,No phone service,No,Yes,No internet service,No internet service,No internet service,No,No,One year,Yes,Electronic check,93.01,2245.24,No
CUST00091,Female,1,No,Yes,59,Yes,Yes,DSL,Yes,Yes,No,No internet service,Yes,Yes,Two year,Yes,Credit card,65.08,3853.06,No
CUST00092,Female,1,Yes,No,23,No,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,106.85,2443.91,No
CUST00093,Female,1,No,Yes,14,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,47.4,674.34,No
CUST00094,Female,1,No,No,13,Yes,No phone service,DSL,No internet service,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,28.81,377.2,No
CUST00095,Female,1,No,No,53,No,Yes,No,No internet service,Yes,Yes,No,Yes,No internet service,One year,Yes,Credit card,100.05,5313.15,Yes
CUST00096,Female,1,Yes,No,5,No,No,No,Yes,No internet service,No internet service,No,Yes,Yes,One year,No,Electronic check,106.84,550.95,No
CUST00097,Female,0,No,No,17,Yes,No phone service,No,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,104.05,1762.25,No
CUST00098,Female,1,Yes,Yes,19,Yes,No phone service,No,No,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,52.93,1008.51,No
CUST00099,Male,0,No,Yes,61,No,No,No,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Bank transfer,23.09,1419.99,No
CUST00100,Male,0,No,Yes,39,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No internet service,No,Two year,Yes,Electronic check,33.96,1343.91,Yes
CUST00101,Female,1,Yes,No,38,No,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,One year,No,Bank transfer,111.94,4258.22,No
CUST00102,Female,0,No,No,51,No,No phone service,DSL,Yes,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,56.41,2885.76,Yes
CUST00103,Female,1,No,No,31,No,Yes,No,No,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,108.02,3362.47,No
CUST00104,Female,1,No,No,26,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,118.08,3080.13,Yes
CUST00105,Female,0,No,No,51,No,No phone service,No,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,59.57,3055.76,No
CUST00106,Female,0,Yes,No,62,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,No internet service,One year,No,Electronic check,97.64,6042.87,No
CUST00107,Female,1,No,Yes,62,Yes,No phone service,No,No internet service,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,36.91,2304.73,Yes
CUST00108,Female,1,No,Yes,16,No,No phone service,Fiber optic,Yes,No internet service,No,No internet service,Yes,No,One year,No,Credit card,58.37,922.2,Yes
CUST00109,Male,0,Yes,Yes,48,No,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,No,Two year,No,Mailed check,90.52,4347.57,No
CUST00110,Female,0,No,Yes,22,No,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,40.71,896.54,No
CUST00111,Male,0,No,Yes,71,No,No phone service,Fiber optic,No,No,Yes,No internet service,No,Yes,One year,Yes,Electronic check,51.98,3703.83,No
CUST00112,Female,0,No,Yes,12,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer,76.38,912.5,Yes
CUST00113,Female,1,No,Yes,22,Yes,No,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,89.12,1946.37,Yes
CUST00114,Male,1,Yes,Yes,56,No,No phone service,No,No,No,No,No,Yes,Yes,Two year,Yes,Credit card,55.69,3126.91,Yes
CUST00115,Female,1,No,No,61,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,No internet service,No internet service,One year,No,Mailed check,57.68,3522.75,Yes
CUST00116,Male,1,Yes,No,53,No,No phone service,DSL,No,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,30.99,1655.55,No
CUST00117,Female,0,No,No,19,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,118.41,2260.14,No
CUST00118,Female,0,No,No,51,Yes,No phone service,DSL,No,No internet service,No,No,No,No,Two year,Yes,Electronic check,81.22,4158.01,No
CUST00119,Male,1,No,No,22,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,73.03,1620.22,No
CUST00120,Female,1,Yes,No,34,No,No,Fiber optic,No,No,No,No,Yes,No internet service,One year,Yes,Credit card,41.14,1406.2,No
CUST00121,Male,1,No,No,66,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,No,One year,Yes,Credit card,68.8,4539.43,No
CUST00122,Female,1,No,Yes,33,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No,No,One year,No,Electronic check,64.73,2116.9,No
CUST00123,Male,1,Yes,Yes,32,Yes,No phone service,No,Yes,No internet service,No,No,No,No,Month-to-month,No,Electronic check,45.86,1459.82,No
CUST00124,Male,1,Yes,No,45,Yes,Yes,No,Yes,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,64.63,2917.45,No
CUST00125,Female,1,Yes,Yes,44,No,Yes,No,No,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,40.35,1757.78,No
CUST00126,Female,1,Yes,Yes,18,Yes,No phone service,No,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,91.02,1648.62,Yes
CUST00127,Male,1,No,Yes,14,No,No phone service,No,No internet service,No,No,No internet service,No,No,Two year,Yes,Credit card,110.88,1552.98,No
CUST00128,Female,0,No,Yes,65,No,No,No,Yes,No internet service,No,Yes,No,Yes,One year,No,Electronic check,20.26,1331.61,No
CUST00129,Female,1,No,Yes,38,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No,No,Two year,No,Bank transfer,75.63,2880.33,No
CUST00130,Female,0,No,No,17,Yes,No phone service,DSL,No internet service,Yes,No,No,No,No internet service,Two year,No,Electronic check,93.23,1596.85,No
CUST00131,Male,0,Yes,Yes,69,No,No,No,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer,110.72,7626.54,No
CUST00132,Male,1,No,No,58,No,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Bank transfer,55.84,3225.64,No
CUST00133,Male,1,No,No,31,No,No,DSL,No,Yes,No,No,Yes,No internet service,One year,Yes,Bank transfer,110.72,3420.76,Yes
CUST00134,Male,0,No,No,20,Yes,No,DSL,No,Yes,No,No,No,No internet service,Month-to-month,No,Electronic check,102.56,2044.53,No
CUST00135,Male,0,No,Yes,39,Yes,Yes,DSL,Yes,No internet service,Yes,No,No internet service,No,Two year,Yes,Electronic check,72.52,2844.46,Yes
CUST00136,Male,1,Yes,No,26,No,No,No,No internet service,No internet service,Yes,No,No,No,Month-to-month,No,Credit card,45.69,1198.91,Yes
CUST00137,Male,0,No,No,1,No,Yes,No,Yes,No,No internet service,No internet service,Yes,No,One year,Yes,Mailed check,85.28,79.87,Yes
CUST00138,Male,1,No,No,38,No,No,No,Yes,No internet service,No,Yes,No,No,Month-to-month,Yes,Electronic check,46.06,1767.02,No
CUST00139,Male,1,No,No,55,Yes,No,DSL,Yes,Yes,No,No internet service,No internet service,No,Two year,No,Credit card,54.88,3029.56,No
CUST00140,Female,1,Yes,Yes,12,Yes,No,DSL,No,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Mailed check,66.7,806.64,Yes
CUST00141,Male,0,Yes,No,55,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,One year,Yes,Credit card,69.8,3836.46,No
CUST00142,Female,0,No,No,65,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,38.91,2535.22,No
CUST00143,Female,1,No,No,55,No,No,Fiber optic,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card,89.38,4919.63,No
CUST00144,Female,0,No,No,27,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,119.19,3229.4,Yes
CUST00145,Male,0,Yes,Yes,63,No,Yes,DSL,No,Yes,No,No internet service,No internet service,No,One year,Yes,Mailed check,44.39,2785.59,Yes
CUST00146,Male,0,No,No,70,Yes,Yes,No,Yes,No,Yes,No internet service,No internet service,Yes,Two year,Yes,Bank transfer,75.45,5296.92,Yes
CUST00147,Male,0,No,No,63,Yes,No phone service,No,No,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,65.47,4128.28,No
CUST00148,Male,0,No,No,55,Yes,Yes,No,Yes,No internet service,No,No internet service,Yes,Yes,One year,Yes,Electronic check,50.78,2805.17,No
CUST00149,Female,0,Yes,No,40,Yes,No phone service,No,No,No internet service,No internet service,No,Yes,Yes,One year,No,Electronic check,61.98,2473.09,Yes
CUST00150,Male,0,No,No,40,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,Two year,No,Mailed check,93.27,3726.48,No
CUST00151,Male,1,No,No,3,Yes,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Credit card,61.47,201.9,No
CUST00152,Male,0,Yes,Yes,56,Yes,Yes,No,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,70.68,3962.96,No
CUST00153,Male,0,Yes,No,29,No,Yes,DSL,Yes,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer,67.72,1956.59,No
CUST00154,Male,0,No,Yes,45,No,No,Fiber optic,No,Yes,No internet service,Yes,No,No,One year,No,Credit card,75.52,3381.69,No
CUST00155,Female,0,Yes,Yes,55,No,No phone service,Fiber optic,No,Yes,No,No internet service,No,No internet service,One year,No,Electronic check,49.12,2698.97,No
CUST00156,Male,0,No,No,30,Yes,No,No,Yes,Yes,No internet service,No internet service,Yes,No,Two year,No,Electronic check,70.97,2143.06,No
CUST00157,Female,0,Yes,Yes,6,Yes,No phone service,No,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,33.48,190.94,Yes
CUST00158,Male,0,Yes,No,53,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,94.14,5003.83,Yes
CUST00159,Female,0,No,Yes,7,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,31.09,204.1,No
CUST00160,Male,1,No,No,54,No,No,DSL,Yes,Yes,No internet service,Yes,Yes,No,Two year,Yes,Credit card,98.5,5304.2,No
CUST00161,Male,0,No,Yes,68,No,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,102.55,6977.63,No
CUST00162,Female,0,Yes,Yes,43,No,Yes,DSL,Yes,No,No internet service,No internet service,No internet service,Yes,Two year,Yes,Mailed check,21.91,954.32,No
CUST00163,Female,0,No,No,12,No,No,Fiber optic,Yes,No,No,No internet service,Yes,No,Two year,Yes,Bank transfer,103.08,1248.16,Yes
CUST00164,Female,0,No,Yes,19,No,No phone service,DSL,No internet service,No internet service,No,No internet service,Yes,Yes,Two year,Yes,Mailed check,84.82,1613.32,No
CUST00165,Male,1,No,Yes,31,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No,No internet service,Two year,No,Mailed check,29.69,925.94,No
CUST00166,Female,1,No,Yes,59,No,No phone service,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,Two year,Yes,Mailed check,119.79,7057.94,No
CUST00167,Male,1,No,Yes,49,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,81.55,3998.0,No
CUST00168,Male,1,Yes,Yes,26,No,Yes,DSL,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer,60.09,1550.65,No
CUST00169,Female,1,No,No,24,No,No,No,Yes,No internet service,No,No,Yes,Yes,Two year,No,Electronic check,108.52,2621.61,No
CUST00170,Female,1,No,Yes,51,Yes,Yes,No,No internet service,Yes,Yes,Yes,No internet service,Yes,One year,No,Electronic check,24.16,1239.28,No
CUST00171,Male,1,Yes,Yes,67,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No,No,One year,No,Mailed check,91.73,6148.5,No
CUST00172,Male,1,No,No,20,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,34.37,677.29,No
CUST00173,Female,1,No,No,17,No,Yes,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Electronic check,75.25,1275.61,No
CUST00174,Female,1,No,No,38,No,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,29.59,1135.63,Yes
CUST00175,Female,1,No,Yes,14,Yes,No phone service,No,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,87.91,1220.32,Yes
CUST00176,Male,1,No,Yes,52,No,Yes,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,One year,Yes,Credit card,66.49,3442.63,No
CUST00177,Male,1,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,One year,Yes,Credit card,20.67,757.08,No
